,Date,Day_Of_Week,Show_name,Sold_out?,Web_Date,urls
65,20160626,Non,Sleep,Bad URL, found,www.930.com/coming-soon
66,20160625,Tue,Balkan Beat Box,0,3/19/13,www.930.com/event/194041-balkan-beat-box-washington/
67,20160624,Non,Jon Bellion,Bad URL, found,www.ustreetmusichall.com/event/821719-jon-bellion-washington/
68,20160623,Non,Grace Potter,Bad URL, found,gracepotter.com/
69,20160622,Non,Grace Potter,Bad URL, found,gracepotter.com/
70,20160621,Mon,Lany,0,10/24/16,www.930.com/event/1227929-lany-washington/
71,20160619,Non,Lucius,Bad URL, found,www.npr.org/event/music/482313223/watch-lucius-live-in-concert
72,20160618,Non,Fitz & The Tantrums,Bad URL, found,https://www.youtube.com/watch?v=T99jTutlDrM
73,20160617,Non,AlunaGeorge,Bad URL, found,https://www.ticketfly.com/purchase/event/1137481
74,20160616,Non,Atlas Road Crew,Bad URL, found,www.atlasroadcrew.com/blog/2016/5/3/tickets-to-930-club-june-16
75,20160615,Mon,At the Drive-In,1,3/20/17,www.930.com/event/1398436-drive-in-washington/
76,20160614,Mon,At the Drive-In,1,3/20/17,www.930.com/event/1398436-drive-in-washington/
77,20160613,Non,Matt Corby,Bad URL, found,https://www.ticketfly.com/purchase/event/1120619
78,20160612,Non,Birdy,Bad URL, found,www.930.com/concerts/
79,20160611,Non,Alice Smith,Bad URL, found,https://www.ticketfly.com/purchase/event/1089061
80,20160610,Fri,Motion City Soundtrack,1,6/10/16,www.930.com/event/1126567-motion-city-soundtrack-washington/
81,20160609,Thu,The Heavy,0,6/9/16,www.930.com/event/1158521-heavy-washington/
82,20160608,Non,Lydia Ainsworth,Bad URL, found,www.songkick.com/.../28974589-lydia-ainsworth-at-dc9-nightclub
83,20160607,Non,Purity Ring,Bad URL, found,https://www.youtube.com/watch?v=oGeQsDeK0c4
84,20160606,Mon,Mudcrutch,1,6/6/16,http://www.930.com/event/1135583-mudcrutch-washington/
85,20160605,Non,Years & Years,Bad URL, found,www.930.com/calendar/
86,20160603,Non,Kaytranad,Bad URL, found,www.ustreetmusichall.com/.../1133267-kaytranada-9-30-club-washington/
87,20160602,Thu,Charles Bradley,1,6/2/16,www.930.com/event/1073453-charles-bradley-his-washington/
88,20160601,Wed,Nada Surf,0,6/1/16,www.930.com/event/1022345-nada-surf-washington/
89,20160531,Tue,Christine and The Queens,1,5/31/16,www.930.com/event/1130985-christine-queens-washington/
90,20160529,Sun,RJD2,0,5/29/16,www.930.com/event/1049801-rjd2-washington/
91,20160526,Thu,Caravan Palace,0,5/26/16,http://www.930.com/event/1115185-caravan-palace-washington/
92,20160525,Fri,JMSN,1,2/13/15,www.930.com/event/737989-jmsn-washington/
93,20160524,Tue,BORNS,1,5/24/16,www.930.com/event/1083349-b-rns-washington/
94,20160520,Sat,White Ford Bronco,1,11/26/16,www.930.com/.../1368687-white-ford-bronco-dcs-all-90s-washington/
95,20160519,Thu,Explosions in the Sky,1,5/19/16,http://www.930.com/event/1069805-explosions-in-sky-washington/
96,20160518,Non,Explosions in the Sky,Bad URL, found,www.npr.org/event/music/.../explosions-in-the-sky-live-in-concert
97,20160517,Tue,Say Anything,0,5/17/16,http://www.930.com/event/1048025-say-anything-washington/
98,20160516,Mon,Yeasayer,0,5/16/16,http://www.930.com/event/1106465-yeasayer-washington/
99,20160515,Sat,The Kills,0,10/8/16,www.930.com/event/1190365-faint-washington/
